racecourse,surface,distance,going,sampleYears,sampleCount,medianFinal3FSeconds,source
阪神,turf,1800,良,5,50,35.2,V0テスト用仮データ（実データ未投入）
阪神,turf,2000,重,5,30,34,V0テスト用仮データ（実データ未投入）
札幌,turf,1900,良,5,60,35.1,V0テスト用仮データ（実データ未投入）
札幌,turf,2100,重,5,40,35.4,V0テスト用仮データ（実データ未投入）
小倉,turf,1800,良,5,50,34.6,V0テスト用仮データ（実データ未投入）
小倉,turf,1900,良,5,60,35.6,V0テスト用仮データ（実データ未投入）
小倉,turf,1900,稍重,5,60,35.5,V0テスト用仮データ（実データ未投入）
小倉,turf,2100,良,5,40,34.2,V0テスト用仮データ（実データ未投入）
中山,turf,1900,良,5,60,34.5,V0テスト用仮データ（実データ未投入）
中山,turf,2100,稍重,5,40,34.8,V0テスト用仮データ（実データ未投入）
中山,turf,2100,良,5,40,33.6,V0テスト用仮データ（実データ未投入）
東京,turf,1900,良,5,60,36.2,V0テスト用仮データ（実データ未投入）
東京,turf,2000,良,5,30,34,V0テスト用仮データ（実データ未投入）
函館,turf,1900,良,5,60,35.6,V0テスト用仮データ（実データ未投入）
函館,turf,2200,良,5,50,34.3,V0テスト用仮データ（実データ未投入）
中京,turf,2000,良,2,2,35.15,JRA確認済みサンプル(n=2レース;対象年:2023;2024) verified_full_finisher_final3f 各レース全完走馬final3F中央値のレース間等重み中央値(median-of-race-medians) 暫定candidate [batch4]
中京,turf,2000,重,1,1,36.95,JRA確認済みサンプル(n=1レース;対象年:2025) verified_full_finisher_final3f 各レース全完走馬final3F中央値のレース間等重み中央値(median-of-race-medians) 暫定candidate [batch4]
