raceDate,racecourse,raceNumber,raceName,surface,distance,going,finishPosition,horseNumber,horseName,sexAge,carriedWeightKg,actualRaceTimeSeconds,timeGapSeconds,final3FSeconds,rating,source,status
2025-11-15,京都,10,アンドロメダステークス,turf,2000,良,1,16,ウエストナウ,牡4,57.0,118.9,0.0,34.3,105,JRA公式,verified_target_race_result
2025-11-15,京都,10,アンドロメダステークス,turf,2000,良,2,9,シェイクユアハート,牡5,58.0,119.0,0.1,34.6,106,JRA公式,verified_target_race_result
2025-11-15,京都,10,アンドロメダステークス,turf,2000,良,3,15,マイネルケレリウス,牡5,57.0,119.3,0.4,34.3,101,JRA公式,verified_target_race_result
2025-11-15,京都,10,アンドロメダステークス,turf,2000,良,4,7,バレエマスター,牡6,57.0,119.3,0.4,34.7,101,JRA公式,verified_target_race_result
2025-11-15,京都,10,アンドロメダステークス,turf,2000,良,5,10,マイネルメモリー,牡5,57.0,119.3,0.4,34.5,101,JRA公式,verified_target_race_result
2025-11-15,京都,10,アンドロメダステークス,turf,2000,良,6,6,リビアングラス,牡5,58.0,119.6,0.7,35.3,100,JRA公式,verified_target_race_result
2025-11-15,京都,10,アンドロメダステークス,turf,2000,良,7,4,レッドバリエンテ,牡6,58.0,119.6,0.7,35.2,100,JRA公式,verified_target_race_result
2025-11-15,京都,10,アンドロメダステークス,turf,2000,良,8,14,アイスグリーン,牡5,57.0,119.6,0.7,35.4,98,JRA公式,verified_target_race_result
2025-11-15,京都,10,アンドロメダステークス,turf,2000,良,9,1,ドクタードリトル,牡5,57.0,119.7,0.8,35.3,97,JRA公式,verified_target_race_result
2025-11-15,京都,10,アンドロメダステークス,turf,2000,良,10,3,ブレイヴロッカー,せん5,57.0,119.7,0.8,35.1,97,JRA公式,verified_target_race_result
2025-11-15,京都,10,アンドロメダステークス,turf,2000,良,11,8,エープラス,牝7,55.0,120.0,1.1,35.0,90,JRA公式,verified_target_race_result
2025-11-15,京都,10,アンドロメダステークス,turf,2000,良,12,5,ウインエーデル,牝5,55.0,120.1,1.2,35.2,89,JRA公式,verified_target_race_result
2025-11-15,京都,10,アンドロメダステークス,turf,2000,良,13,13,シュバルツクーゲル,牡4,57.0,120.3,1.4,36.3,91,JRA公式,verified_target_race_result
2025-11-15,京都,10,アンドロメダステークス,turf,2000,良,14,2,コスモブッドレア,牡4,57.0,120.6,1.7,36.8,88,JRA公式,verified_target_race_result
2025-11-15,京都,10,アンドロメダステークス,turf,2000,良,15,11,ケンシレインボー,牡3,55.0,120.6,1.7,35.2,88,JRA公式,verified_target_race_result
2025-11-15,京都,10,アンドロメダステークス,turf,2000,良,16,12,スパイダーゴールド,牡6,57.0,120.7,1.8,36.6,87,JRA公式,verified_target_race_result
