raceDate,racecourse,raceNumber,raceName,surface,distance,going,finishPosition,horseNumber,horseName,sexAge,carriedWeightKg,actualRaceTimeSeconds,timeGapSeconds,final3FSeconds,rating,source,status
2025-12-13,中京,11,中日新聞杯,turf,2000,良,1,8,シェイクユアハート,牡5,56.5,117.6,0.0,33.2,109.0,JRA公式,verified_target_race_result
2025-12-13,中京,11,中日新聞杯,turf,2000,良,2,7,レッドバリエンテ,牡6,56.0,117.8,0.2,33.8,106.0,JRA公式,verified_target_race_result
2025-12-13,中京,11,中日新聞杯,turf,2000,良,3,3,ジューンテイク,牡4,57.0,117.8,0.2,33.6,108.0,JRA公式,verified_target_race_result
2025-12-13,中京,11,中日新聞杯,turf,2000,良,4,14,シンハナーダ,牡4,56.0,117.8,0.2,33.2,106.0,JRA公式,verified_target_race_result
2025-12-13,中京,11,中日新聞杯,turf,2000,良,5,6,メリオーレム,牡4,55.0,118.1,0.5,33.2,101.0,JRA公式,verified_target_race_result
2025-12-13,中京,11,中日新聞杯,turf,2000,良,6,9,ピースワンデュック,牡4,55.0,118.1,0.5,34.6,101.0,JRA公式,verified_target_race_result
2025-12-13,中京,11,中日新聞杯,turf,2000,良,7,4,ファミリータイム,牡4,55.0,118.1,0.5,33.8,101.0,JRA公式,verified_target_race_result
2025-12-13,中京,11,中日新聞杯,turf,2000,良,8,11,マイネルモーント,牡5,56.0,118.3,0.7,34.1,101.0,JRA公式,verified_target_race_result
2025-12-13,中京,11,中日新聞杯,turf,2000,良,9,15,ヴィンセンシオ,牡3,56.0,118.3,0.7,34.5,103.0,JRA公式,verified_target_race_result
2025-12-13,中京,11,中日新聞杯,turf,2000,良,10,5,オニャンコポン,せん6,55.0,118.3,0.7,33.9,99.0,JRA公式,verified_target_race_result
2025-12-13,中京,11,中日新聞杯,turf,2000,良,11,2,ウインエーデル,牝5,52.0,118.4,0.8,33.7,92.0,JRA公式,verified_target_race_result
2025-12-13,中京,11,中日新聞杯,turf,2000,良,12,12,ダンディズム,せん9,55.0,118.5,0.9,33.2,97.0,JRA公式,verified_target_race_result
2025-12-13,中京,11,中日新聞杯,turf,2000,良,13,13,ショウナンアデイブ,牡6,55.0,118.5,0.9,34.5,96.0,JRA公式,verified_target_race_result
2025-12-13,中京,11,中日新聞杯,turf,2000,良,14,10,マイネルケレリウス,牡5,55.0,119.0,1.4,32.7,91.0,JRA公式,verified_target_race_result
2025-12-13,中京,11,中日新聞杯,turf,2000,良,15,1,ホウオウプロサンゲ,牡4,54.0,119.1,1.5,35.6,88.0,JRA公式,verified_target_race_result
2025-12-13,中京,11,中日新聞杯,turf,2000,良,16,16,グーデンドラーク,牡6,55.0,120.0,2.4,35.8,81.0,JRA公式,verified_target_race_result
2025-12-13,中京,11,中日新聞杯,turf,2000,良,17,18,カネフラ,牡5,53.0,120.0,2.4,33.3,77.0,JRA公式,verified_target_race_result
2025-12-13,中京,11,中日新聞杯,turf,2000,良,中止,17,リフレーミング,牡7,57.0,,,,,JRA公式,verified_target_race_result
