raceDate,racecourse,raceNumber,raceName,surface,distance,going,finishPosition,horseNumber,horseName,sexAge,carriedWeightKg,actualRaceTimeSeconds,timeGapSeconds,final3FSeconds,rating,source,status
2026-03-15,中京,11,金鯱賞,turf,2000,良,1,9,シェイクユアハート,牡6,57.0,118.1,0.0,33.5,,JRA公式,verified_target_race_result
2026-03-15,中京,11,金鯱賞,turf,2000,良,2,3,ジョバンニ,牡4,57.0,118.1,0.0,34.5,,JRA公式,verified_target_race_result
2026-03-15,中京,11,金鯱賞,turf,2000,良,3,12,クイーンズウォーク,牝5,56.0,118.2,0.1,34.1,,JRA公式,verified_target_race_result
2026-03-15,中京,11,金鯱賞,turf,2000,良,4,2,ジューンテイク,牡5,58.0,118.2,0.1,34.8,,JRA公式,verified_target_race_result
2026-03-15,中京,11,金鯱賞,turf,2000,良,5,1,ドゥラドーレス,牡7,57.0,118.2,0.1,33.9,,JRA公式,verified_target_race_result
2026-03-15,中京,11,金鯱賞,turf,2000,良,6,6,ヴィレム,牡5,57.0,118.2,0.1,34.6,,JRA公式,verified_target_race_result
2026-03-15,中京,11,金鯱賞,turf,2000,良,7,5,ディマイザキッド,牡5,57.0,118.4,0.3,33.8,,JRA公式,verified_target_race_result
2026-03-15,中京,11,金鯱賞,turf,2000,良,8,11,キングズパレス,牡7,57.0,118.6,0.5,33.7,,JRA公式,verified_target_race_result
2026-03-15,中京,11,金鯱賞,turf,2000,良,9,14,サフィラ,牝5,55.0,118.6,0.5,33.9,,JRA公式,verified_target_race_result
2026-03-15,中京,11,金鯱賞,turf,2000,良,10,8,アラタ,牡9,57.0,118.7,0.6,34.3,,JRA公式,verified_target_race_result
2026-03-15,中京,11,金鯱賞,turf,2000,良,11,10,セキトバイースト,牝5,55.0,119.0,0.9,35.8,,JRA公式,verified_target_race_result
2026-03-15,中京,11,金鯱賞,turf,2000,良,12,7,ニシノレヴナント,せん6,57.0,119.1,1.0,34.2,,JRA公式,verified_target_race_result
2026-03-15,中京,11,金鯱賞,turf,2000,良,12,13,ホウオウビスケッツ,牡6,57.0,119.1,1.0,36.1,,JRA公式,verified_target_race_result
2026-03-15,中京,11,金鯱賞,turf,2000,良,14,4,アーバンシック,牡5,58.0,119.1,1.0,34.7,,JRA公式,verified_target_race_result
