raceDate,racecourse,raceNumber,raceName,surface,distance,going,finishPosition,horseNumber,horseName,sexAge,carriedWeightKg,actualRaceTimeSeconds,timeGapSeconds,final3FSeconds,rating,source,status
2026-02-15,京都,11,京都記念,turf,2200,良,1,12,ジューンテイク,牡5,57.0,132.7,0.0,33.9,114,JRA公式,verified_target_race_result
2026-02-15,京都,11,京都記念,turf,2200,良,2,6,エリキング,牡4,57.0,132.8,0.1,33.1,115,JRA公式,verified_target_race_result
2026-02-15,京都,11,京都記念,turf,2200,良,3,4,エコロディノス,牡4,56.0,133.0,0.3,34.0,111,JRA公式,verified_target_race_result
2026-02-15,京都,11,京都記念,turf,2200,良,4,8,シェイクユアハート,牡6,57.0,133.1,0.4,33.7,109,JRA公式,verified_target_race_result
2026-02-15,京都,11,京都記念,turf,2200,良,5,3,サフィラ,牝5,55.0,133.1,0.4,33.9,105,JRA公式,verified_target_race_result
2026-02-15,京都,11,京都記念,turf,2200,良,6,10,リビアングラス,牡6,57.0,133.2,0.5,34.1,109,JRA公式,verified_target_race_result
2026-02-15,京都,11,京都記念,turf,2200,良,7,2,ヨーホーレイク,牡8,58.0,133.3,0.6,33.6,110,JRA公式,verified_target_race_result
2026-02-15,京都,11,京都記念,turf,2200,良,8,1,ヘデントール,牡5,59.0,133.6,0.9,33.6,109,JRA公式,verified_target_race_result
2026-02-15,京都,11,京都記念,turf,2200,良,9,9,ドクタードリトル,牡6,57.0,133.8,1.1,34.4,103,JRA公式,verified_target_race_result
2026-02-15,京都,11,京都記念,turf,2200,良,10,11,マイネルクリソーラ,牡7,57.0,134.3,1.6,35.1,99,JRA公式,verified_target_race_result
2026-02-15,京都,11,京都記念,turf,2200,良,11,7,メイショウブレゲ,牡7,57.0,134.3,1.6,34.4,99,JRA公式,verified_target_race_result
2026-02-15,京都,11,京都記念,turf,2200,良,12,5,バビット,牡9,57.0,134.8,2.1,36.0,94,JRA公式,verified_target_race_result
