raceDate,racecourse,raceName,surface,distance,going,winnerTimeSeconds,winnerFinal3FSeconds,source,status
2021-03-14,中京,金鯱賞,turf,2000,重,121.8,36.8,JRA公式,verified
2022-03-13,中京,金鯱賞,turf,2000,良,117.2,34.6,JRA公式,verified
2023-03-12,中京,金鯱賞,turf,2000,良,119.8,33.9,JRA公式,verified
2024-03-10,中京,金鯱賞,turf,2000,良,117.6,34.3,JRA公式,verified
2025-03-16,中京,金鯱賞,turf,2000,重,121.3,36.3,JRA公式,verified
2023-10-15,京都,秋華賞,turf,2000,稍重,121.1,33.6,JRA公式,verified
2024-10-13,京都,秋華賞,turf,2000,良,117.1,34.2,JRA公式,verified
2025-10-19,京都,秋華賞,turf,2000,良,118.3,35.2,JRA公式,verified
2024-11-16,京都,アンドロメダステークス,turf,2000,良,118.6,35.3,JRA公式,verified
2025-11-15,京都,アンドロメダステークス,turf,2000,良,118.9,34.3,JRA公式,verified
2023-11-12,京都,エリザベス女王杯,turf,2200,良,132.6,34.4,JRA公式,verified
2024-11-10,京都,エリザベス女王杯,turf,2200,良,131.1,34.0,JRA公式,verified
2025-11-16,京都,エリザベス女王杯,turf,2200,良,131.0,34.2,JRA公式,verified
2024-02-11,京都,京都記念,turf,2200,良,132.1,34.8,JRA公式,verified
2025-02-16,京都,京都記念,turf,2200,稍重,135.7,34.2,JRA公式,verified
2024-06-23,京都,宝塚記念,turf,2200,重,132.0,34.0,JRA公式,verified
