racecourse,surface,distance,going,sampleYears,sampleCount,medianFinal3FSeconds,source
中京,turf,2000,ALL,2021-2025,5,34.6,JRA公式 winnerFinal3F sample pool; DO NOT auto-import as courseFinal3F baseline without confirming definition
中京,turf,2000,良,2021-2025,3,34.3,JRA公式 winnerFinal3F sample pool; DO NOT auto-import as courseFinal3F baseline without confirming definition
中京,turf,2000,重,2021-2025,2,36.55,JRA公式 winnerFinal3F sample pool; DO NOT auto-import as courseFinal3F baseline without confirming definition
京都,turf,2000,ALL,2023-2025,5,34.3,JRA公式 winnerFinal3F sample pool; DO NOT auto-import as courseFinal3F baseline without confirming definition
京都,turf,2000,稍重,2023-2025,1,33.6,JRA公式 winnerFinal3F sample pool; DO NOT auto-import as courseFinal3F baseline without confirming definition
京都,turf,2000,良,2023-2025,4,34.75,JRA公式 winnerFinal3F sample pool; DO NOT auto-import as courseFinal3F baseline without confirming definition
京都,turf,2200,ALL,2023-2025,6,34.2,JRA公式 winnerFinal3F sample pool; DO NOT auto-import as courseFinal3F baseline without confirming definition
京都,turf,2200,稍重,2023-2025,1,34.2,JRA公式 winnerFinal3F sample pool; DO NOT auto-import as courseFinal3F baseline without confirming definition
京都,turf,2200,良,2023-2025,4,34.3,JRA公式 winnerFinal3F sample pool; DO NOT auto-import as courseFinal3F baseline without confirming definition
京都,turf,2200,重,2023-2025,1,34.0,JRA公式 winnerFinal3F sample pool; DO NOT auto-import as courseFinal3F baseline without confirming definition
