raceDate,racecourse,raceName,surface,distance,going,horseName,final3FSeconds,source,status
2025-03-16,中京,金鯱賞,turf,2000,重,クイーンズウォーク,36.3,JRA公式,verified_full_finisher_final3f
2025-03-16,中京,金鯱賞,turf,2000,重,ホウオウビスケッツ,36.8,JRA公式,verified_full_finisher_final3f
2025-03-16,中京,金鯱賞,turf,2000,重,キングズパレス,36.0,JRA公式,verified_full_finisher_final3f
2025-03-16,中京,金鯱賞,turf,2000,重,デシエルト,39.0,JRA公式,verified_full_finisher_final3f
2025-03-16,中京,金鯱賞,turf,2000,重,ディープモンスター,36.8,JRA公式,verified_full_finisher_final3f
2025-03-16,中京,金鯱賞,turf,2000,重,プログノーシス,36.8,JRA公式,verified_full_finisher_final3f
2025-03-16,中京,金鯱賞,turf,2000,重,マイネルモーント,37.1,JRA公式,verified_full_finisher_final3f
2025-03-16,中京,金鯱賞,turf,2000,重,ライラック,37.8,JRA公式,verified_full_finisher_final3f
2025-03-16,中京,金鯱賞,turf,2000,重,ラヴェル,38.3,JRA公式,verified_full_finisher_final3f
2025-03-16,中京,金鯱賞,turf,2000,重,アスクドゥポルテ,39.2,JRA公式,verified_full_finisher_final3f
2024-03-10,中京,金鯱賞,turf,2000,良,プログノーシス,34.3,JRA公式,verified_full_finisher_final3f
2024-03-10,中京,金鯱賞,turf,2000,良,ドゥレッツァ,35.0,JRA公式,verified_full_finisher_final3f
2024-03-10,中京,金鯱賞,turf,2000,良,ヨーホーレイク,35.4,JRA公式,verified_full_finisher_final3f
2024-03-10,中京,金鯱賞,turf,2000,良,ハヤヤッコ,35.0,JRA公式,verified_full_finisher_final3f
2024-03-10,中京,金鯱賞,turf,2000,良,アラタ,35.0,JRA公式,verified_full_finisher_final3f
2024-03-10,中京,金鯱賞,turf,2000,良,ワイドエンペラー,34.7,JRA公式,verified_full_finisher_final3f
2024-03-10,中京,金鯱賞,turf,2000,良,ブレイヴロッカー,35.6,JRA公式,verified_full_finisher_final3f
2024-03-10,中京,金鯱賞,turf,2000,良,エアサージュ,36.3,JRA公式,verified_full_finisher_final3f
2024-03-10,中京,金鯱賞,turf,2000,良,レッドジェネシス,35.8,JRA公式,verified_full_finisher_final3f
2024-03-10,中京,金鯱賞,turf,2000,良,ヤマニンサルバム,36.8,JRA公式,verified_full_finisher_final3f
2024-03-10,中京,金鯱賞,turf,2000,良,バラジ,36.6,JRA公式,verified_full_finisher_final3f
2024-03-10,中京,金鯱賞,turf,2000,良,ノッキングポイント,36.8,JRA公式,verified_full_finisher_final3f
2024-03-10,中京,金鯱賞,turf,2000,良,シーズンリッチ,38.2,JRA公式,verified_full_finisher_final3f
2023-03-12,中京,金鯱賞,turf,2000,良,プログノーシス,33.9,JRA公式,verified_full_finisher_final3f
2023-03-12,中京,金鯱賞,turf,2000,良,フェーングロッテン,34.7,JRA公式,verified_full_finisher_final3f
2023-03-12,中京,金鯱賞,turf,2000,良,アラタ,34.6,JRA公式,verified_full_finisher_final3f
2023-03-12,中京,金鯱賞,turf,2000,良,ハヤヤッコ,34.3,JRA公式,verified_full_finisher_final3f
2023-03-12,中京,金鯱賞,turf,2000,良,ディープモンスター,34.7,JRA公式,verified_full_finisher_final3f
2023-03-12,中京,金鯱賞,turf,2000,良,ポタジェ,34.7,JRA公式,verified_full_finisher_final3f
2023-03-12,中京,金鯱賞,turf,2000,良,ヤマニンサルバム,35.1,JRA公式,verified_full_finisher_final3f
2023-03-12,中京,金鯱賞,turf,2000,良,マリアエレーナ,34.7,JRA公式,verified_full_finisher_final3f
2023-03-12,中京,金鯱賞,turf,2000,良,バイオスパーク,34.5,JRA公式,verified_full_finisher_final3f
2023-03-12,中京,金鯱賞,turf,2000,良,ワンダフルタウン,34.7,JRA公式,verified_full_finisher_final3f
2023-03-12,中京,金鯱賞,turf,2000,良,グランオフィシエ,35.3,JRA公式,verified_full_finisher_final3f
2023-03-12,中京,金鯱賞,turf,2000,良,ルビーカサブランカ,35.0,JRA公式,verified_full_finisher_final3f
