raceDate,racecourse,raceName,surface,distance,going,horseName,final3FSeconds,source,status
2024-02-11,京都,京都記念,turf,2200,良,プラダリア,34.8,JRA公式,verified_full_finisher_final3f
2024-02-11,京都,京都記念,turf,2200,良,ベラジオオペラ,34.6,JRA公式,verified_full_finisher_final3f
2024-02-11,京都,京都記念,turf,2200,良,バビット,35.5,JRA公式,verified_full_finisher_final3f
2024-02-11,京都,京都記念,turf,2200,良,シュヴァリエローズ,35.4,JRA公式,verified_full_finisher_final3f
2024-02-11,京都,京都記念,turf,2200,良,ラヴェル,35.2,JRA公式,verified_full_finisher_final3f
2024-02-11,京都,京都記念,turf,2200,良,ブレイヴロッカー,35.1,JRA公式,verified_full_finisher_final3f
2024-02-11,京都,京都記念,turf,2200,良,プラチナトレジャー,34.8,JRA公式,verified_full_finisher_final3f
2024-02-11,京都,京都記念,turf,2200,良,ルージュエヴァイユ,35.0,JRA公式,verified_full_finisher_final3f
2024-02-11,京都,京都記念,turf,2200,良,マテンロウレオ,35.9,JRA公式,verified_full_finisher_final3f
2024-02-11,京都,京都記念,turf,2200,良,アフリカンゴールド,36.8,JRA公式,verified_full_finisher_final3f
2024-02-11,京都,京都記念,turf,2200,良,ナイママ,35.4,JRA公式,verified_full_finisher_final3f
2024-02-11,京都,京都記念,turf,2200,良,ジェットモーション,36.3,JRA公式,verified_full_finisher_final3f
2025-02-16,京都,京都記念,turf,2200,稍重,ヨーホーレイク,34.2,JRA公式,verified_full_finisher_final3f
2025-02-16,京都,京都記念,turf,2200,稍重,リビアングラス,34.4,JRA公式,verified_full_finisher_final3f
2025-02-16,京都,京都記念,turf,2200,稍重,マコトヴェリーキー,34.7,JRA公式,verified_full_finisher_final3f
2025-02-16,京都,京都記念,turf,2200,稍重,バビット,34.9,JRA公式,verified_full_finisher_final3f
2025-02-16,京都,京都記念,turf,2200,稍重,ソールオリエンス,34.1,JRA公式,verified_full_finisher_final3f
2025-02-16,京都,京都記念,turf,2200,稍重,プラダリア,34.6,JRA公式,verified_full_finisher_final3f
2025-02-16,京都,京都記念,turf,2200,稍重,エヒト,34.6,JRA公式,verified_full_finisher_final3f
2025-02-16,京都,京都記念,turf,2200,稍重,セイウンハーデス,35.4,JRA公式,verified_full_finisher_final3f
2025-02-16,京都,京都記念,turf,2200,稍重,チェルヴィニア,35.3,JRA公式,verified_full_finisher_final3f
2025-02-16,京都,京都記念,turf,2200,稍重,ブレイヴロッカー,34.8,JRA公式,verified_full_finisher_final3f
2025-02-16,京都,京都記念,turf,2200,稍重,フォワードアゲン,35.1,JRA公式,verified_full_finisher_final3f
2025-02-16,京都,京都記念,turf,2200,稍重,メイショウユズルハ,35.4,JRA公式,verified_full_finisher_final3f
2024-11-16,京都,アンドロメダステークス,turf,2000,良,デシエルト,35.3,JRA公式,verified_full_finisher_final3f
2024-11-16,京都,アンドロメダステークス,turf,2000,良,ロードデルレイ,34.9,JRA公式,verified_full_finisher_final3f
