priorityHorse,targetRace,targetRaceDate,targetRacecourse,lookbackOrder,raceDate,racecourse,raceName,surface,distance,going,finishPosition,carriedWeightKg,actualRaceTime,jraRatingRt,horsePageSource,status
メイショウタバル,宝塚記念,2026-06-14,阪神,1,2026-04-05,阪神,大阪杯,turf,2000,良,2,58.0,1:57.7,120.0,https://www.jra.go.jp/JRADB/accessU.html?CNAME=pw01dud002021103272%2FCF,JRA_horse_page_verified_metadata
メイショウタバル,宝塚記念,2026-06-14,阪神,2,2025-12-28,中山,有馬記念,turf,2500,良,13,58.0,2:32.6,109.0,https://www.jra.go.jp/JRADB/accessU.html?CNAME=pw01dud002021103272%2FCF,JRA_horse_page_verified_metadata
メイショウタバル,宝塚記念,2026-06-14,阪神,3,2025-11-02,東京,天皇賞(秋),turf,2000,良,6,58.0,1:58.8,118.0,https://www.jra.go.jp/JRADB/accessU.html?CNAME=pw01dud002021103272%2FCF,JRA_horse_page_verified_metadata
メイショウタバル,宝塚記念,2026-06-14,阪神,4,2025-06-15,阪神,宝塚記念,turf,2200,稍重,1,58.0,2:11.1,121.0,https://www.jra.go.jp/JRADB/accessU.html?CNAME=pw01dud002021103272%2FCF,JRA_horse_page_verified_metadata
メイショウタバル,宝塚記念,2026-06-14,阪神,5,2025-04-05,ア首,ドバイターフ,turf,1800,良,5,57.0,1:46.2,115.0,https://www.jra.go.jp/JRADB/accessU.html?CNAME=pw01dud002021103272%2FCF,JRA_horse_page_verified_metadata
クロワデュノール,宝塚記念,2026-06-14,阪神,1,2026-05-03,京都,天皇賞(春),turf,3200,良,1,58.0,3:13.7,117.0,https://www.jra.go.jp/JRADB/accessU.html?CNAME=pw01dud102022105102%2F7F,JRA_horse_page_verified_metadata
クロワデュノール,宝塚記念,2026-06-14,阪神,2,2026-04-05,阪神,大阪杯,turf,2000,良,1,58.0,1:57.6,122.0,https://www.jra.go.jp/JRADB/accessU.html?CNAME=pw01dud102022105102%2F7F,JRA_horse_page_verified_metadata
クロワデュノール,宝塚記念,2026-06-14,阪神,3,2025-11-30,東京,ジャパンC,turf,2400,良,4,56.0,2:20.9,122.0,https://www.jra.go.jp/JRADB/accessU.html?CNAME=pw01dud102022105102%2F7F,JRA_horse_page_verified_metadata
クロワデュノール,宝塚記念,2026-06-14,阪神,4,2025-10-05,仏,凱旋門賞,turf,2400,重,14,56.5,2:30.8,112.0,https://www.jra.go.jp/JRADB/accessU.html?CNAME=pw01dud102022105102%2F7F,JRA_horse_page_verified_metadata
クロワデュノール,宝塚記念,2026-06-14,阪神,5,2025-09-14,仏,プランスドラ,turf,2000,重,1,58.0,2:11.6,119.0,https://www.jra.go.jp/JRADB/accessU.html?CNAME=pw01dud102022105102%2F7F,JRA_horse_page_verified_metadata
ダノンデサイル,宝塚記念,2026-06-14,阪神,1,2026-04-05,阪神,大阪杯,turf,2000,良,3,58.0,1:57.9,118.0,https://www.jra.go.jp/JRADB/accessU.html?CNAME=pw01dud102021105143%2FA6,JRA_horse_page_verified_metadata
ダノンデサイル,宝塚記念,2026-06-14,阪神,2,2025-12-28,中山,有馬記念,turf,2500,良,3,58.0,2:31.6,119.0,https://www.jra.go.jp/JRADB/accessU.html?CNAME=pw01dud102021105143%2FA6,JRA_horse_page_verified_metadata
ダノンデサイル,宝塚記念,2026-06-14,阪神,3,2025-11-30,東京,ジャパンC,turf,2400,良,3,58.0,2:20.8,124.0,https://www.jra.go.jp/JRADB/accessU.html?CNAME=pw01dud102021105143%2FA6,JRA_horse_page_verified_metadata
ダノンデサイル,宝塚記念,2026-06-14,阪神,4,2025-08-20,英,インターナショナルS,turf,2050,良,5,61.0,2:09.5,110.0,https://www.jra.go.jp/JRADB/accessU.html?CNAME=pw01dud102021105143%2FA6,JRA_horse_page_verified_metadata
ダノンデサイル,宝塚記念,2026-06-14,阪神,5,2025-04-05,ア首,ドバイシーマC,turf,2410,良,1,57.0,2:27.0,125.0,https://www.jra.go.jp/JRADB/accessU.html?CNAME=pw01dud102021105143%2FA6,JRA_horse_page_verified_metadata
ジューンテイク,京都記念,2026-02-15,京都,1,2025-12-13,中京,中日新聞杯,turf,2000,良,3,57.0,1:57.8,108.0,https://www.jra.go.jp/JRADB/accessU.html?CNAME=pw01dud102021100913%2F53,JRA_horse_page_verified_metadata
ジューンテイク,京都記念,2026-02-15,京都,2,2025-10-05,京都,京都大賞典,turf,2400,稍重,12,57.0,2:24.8,105.0,https://www.jra.go.jp/JRADB/accessU.html?CNAME=pw01dud102021100913%2F53,JRA_horse_page_verified_metadata
ジューンテイク,京都記念,2026-02-15,京都,3,2025-09-13,阪神,チャレンジC,turf,2000,良,10,57.5,1:58.7,103.0,https://www.jra.go.jp/JRADB/accessU.html?CNAME=pw01dud102021100913%2F53,JRA_horse_page_verified_metadata
ジューンテイク,京都記念,2026-02-15,京都,4,2025-06-15,阪神,宝塚記念,turf,2200,稍重,16,58.0,2:14.4,90.0,https://www.jra.go.jp/JRADB/accessU.html?CNAME=pw01dud102021100913%2F53,JRA_horse_page_verified_metadata
ジューンテイク,京都記念,2026-02-15,京都,5,2025-05-10,東京,エプソムC,turf,1800,稍重,16,59.0,1:46.3,91.0,https://www.jra.go.jp/JRADB/accessU.html?CNAME=pw01dud102021100913%2F53,JRA_horse_page_verified_metadata
エリキング,京都記念,2026-02-15,京都,1,2025-10-26,京都,菊花賞,turf,3000,稍重,2,57.0,3:04.3,115.0,https://www.jra.go.jp/JRADB/accessU.html?CNAME=pw01dud102022105099%2F03,JRA_horse_page_verified_metadata
