raceDate,racecourse,raceName,distance,going
2024-10-13,京都,秋華賞,2000,良
2024-11-23,京都,京都2歳S,2000,良
2025-01-25,小倉,小倉牝馬S,2000,良
2025-03-16,中京,金鯱賞,2000,重
2025-03-29,阪神,毎日杯,1800,良
2025-04-05,ア首,ドバイシーマC,2410,良
2025-04-05,ア首,ドバイターフ,1800,良
2025-04-20,中山,皐月賞,2000,良
2025-05-10,東京,エプソムC,1800,稍重
2025-05-18,東京,ヴィクトリアマイル,1600,良
2025-06-01,東京,東京優駿,2400,良
2025-06-15,阪神,3歳上1勝クラス,2000,稍重
2025-06-15,阪神,宝塚記念,2200,稍重
2025-08-20,英,インターナショナルS,2050,良
2025-09-13,阪神,チャレンジC,2000,良
2025-09-14,仏,プランスドラ,2000,重
2025-09-14,阪神,能勢特別,2000,良
2025-09-21,阪神,神戸新聞杯,2400,良
2025-10-05,京都,京都大賞典,2400,稍重
2025-10-05,仏,凱旋門賞,2400,重
2025-10-26,京都,菊花賞,3000,稍重
2025-11-01,京都,北野特別,2000,良
2025-11-02,東京,天皇賞(秋),2000,良
2025-11-30,東京,ジャパンC,2400,良
2025-12-13,中京,中日新聞杯,2000,良
2025-12-14,阪神,オリオンS,2200,良
2025-12-28,中山,有馬記念,2500,良
2026-01-25,中山,AJCC,2200,良
2026-04-05,阪神,大阪杯,2000,良
2026-05-03,京都,天皇賞(春),3200,良
