raceDate,racecourse,raceName,surface,distance,going,horseName,final3FSeconds,source,status
2022-11-13,阪神,エリザベス女王杯,turf,2200,重,ジェラルディーナ,35.4,JRA公式,verified_full_finisher_final3f
2022-11-13,阪神,エリザベス女王杯,turf,2200,重,ウインマリリン,36.1,JRA公式,verified_full_finisher_final3f
2022-11-13,阪神,エリザベス女王杯,turf,2200,重,ライラック,35.5,JRA公式,verified_full_finisher_final3f
2022-11-13,阪神,エリザベス女王杯,turf,2200,重,アカイイト,35.7,JRA公式,verified_full_finisher_final3f
2022-11-13,阪神,エリザベス女王杯,turf,2200,重,ナミュール,36.1,JRA公式,verified_full_finisher_final3f
2022-11-13,阪神,エリザベス女王杯,turf,2200,重,デアリングタクト,36.5,JRA公式,verified_full_finisher_final3f
2022-11-13,阪神,エリザベス女王杯,turf,2200,重,ホウオウエミーズ,36.2,JRA公式,verified_full_finisher_final3f
2022-11-13,阪神,エリザベス女王杯,turf,2200,重,ルビーカサブランカ,36.4,JRA公式,verified_full_finisher_final3f
2022-11-13,阪神,エリザベス女王杯,turf,2200,重,ピンハイ,37.2,JRA公式,verified_full_finisher_final3f
2022-11-13,阪神,エリザベス女王杯,turf,2200,重,イズジョーノキセキ,36.7,JRA公式,verified_full_finisher_final3f
2022-11-13,阪神,エリザベス女王杯,turf,2200,重,クリノプレミアム,37.0,JRA公式,verified_full_finisher_final3f
2022-11-13,阪神,エリザベス女王杯,turf,2200,重,テルツェット,37.5,JRA公式,verified_full_finisher_final3f
2022-11-13,阪神,エリザベス女王杯,turf,2200,重,ローザノワール,38.5,JRA公式,verified_full_finisher_final3f
2022-11-13,阪神,エリザベス女王杯,turf,2200,重,スタニングローズ,38.2,JRA公式,verified_full_finisher_final3f
2022-11-13,阪神,エリザベス女王杯,turf,2200,重,ウインキートス,38.6,JRA公式,verified_full_finisher_final3f
2022-11-13,阪神,エリザベス女王杯,turf,2200,重,ウインマイティー,38.8,JRA公式,verified_full_finisher_final3f
2022-11-13,阪神,エリザベス女王杯,turf,2200,重,アンドヴァラナウト,39.3,JRA公式,verified_full_finisher_final3f
2022-11-13,阪神,エリザベス女王杯,turf,2200,重,マジカルラグーン,40.7,JRA公式,verified_full_finisher_final3f
