raceDate,racecourse,raceNumber,raceName,surface,distance,going,finishPosition,horseNumber,horseName,sexAge,carriedWeightKg,actualRaceTimeSeconds,timeGapSeconds,final3FSeconds,jraRatingRt,source,status
2026-04-05,阪神,11,大阪杯,turf,2000,良,1,15,クロワデュノール,牡4,58.0,117.6,0.0,34.9,122,JRA公式,verified_fullfield
2026-04-05,阪神,11,大阪杯,turf,2000,良,2,6,メイショウタバル,牡5,58.0,117.7,0.1,35.6,120,JRA公式,verified_fullfield
2026-04-05,阪神,11,大阪杯,turf,2000,良,3,4,ダノンデサイル,牡5,58.0,117.9,0.3,34.9,118,JRA公式,verified_fullfield
2026-04-05,阪神,11,大阪杯,turf,2000,良,4,14,タガノデュード,牡5,58.0,117.9,0.3,34.8,117,JRA公式,verified_fullfield
2026-04-05,阪神,11,大阪杯,turf,2000,良,5,3,セイウンハーデス,牡7,58.0,118.0,0.4,35.3,116,JRA公式,verified_fullfield
2026-04-05,阪神,11,大阪杯,turf,2000,良,6,12,レーベンスティール,牡6,58.0,118.1,0.5,35.2,115,JRA公式,verified_fullfield
2026-04-05,阪神,11,大阪杯,turf,2000,良,7,9,ヨーホーレイク,牡8,58.0,118.1,0.5,35.0,114,JRA公式,verified_fullfield
2026-04-05,阪神,11,大阪杯,turf,2000,良,8,11,デビットバローズ,せん7,58.0,118.3,0.7,35.4,112,JRA公式,verified_fullfield
2026-04-05,阪神,11,大阪杯,turf,2000,良,9,10,ボルドグフーシュ,牡7,58.0,118.6,1.0,35.1,109,JRA公式,verified_fullfield
2026-04-05,阪神,11,大阪杯,turf,2000,良,10,5,ショウヘイ,牡4,58.0,118.8,1.2,36.2,107,JRA公式,verified_fullfield
2026-04-05,阪神,11,大阪杯,turf,2000,良,11,2,マテンロウレオ,牡7,58.0,118.9,1.3,35.7,106,JRA公式,verified_fullfield
2026-04-05,阪神,11,大阪杯,turf,2000,良,12,1,サンストックトン,牡7,58.0,119.3,1.7,35.7,102,JRA公式,verified_fullfield
2026-04-05,阪神,11,大阪杯,turf,2000,良,13,13,ファウストラーゼン,牡4,58.0,120.6,3.0,38.2,88,JRA公式,verified_fullfield
2026-04-05,阪神,11,大阪杯,turf,2000,良,14,8,エコロヴァルツ,牡5,58.0,120.8,3.2,37.9,86,JRA公式,verified_fullfield
2026-04-05,阪神,11,大阪杯,turf,2000,良,15,7,エコロディノス,牡4,58.0,128.4,10.8,45.4,6,JRA公式,verified_fullfield
