raceId,raceDate,racecourse,raceNumber,raceName,surface,distance,going,horseId,horseName,horseNumber,gate,finishPosition,carriedWeightKg,actualRaceTimeSeconds,final3FSeconds,timeGapSeconds,fieldSize
JRA-20251228-NAKAYAMA-11,2025-12-28,中山,11,有馬記念,turf,2500,良,2022105081,ミュージアムマイル,4,2,1,56.0,151.5,34.6,0.0,16
JRA-20251228-NAKAYAMA-11,2025-12-28,中山,11,有馬記念,turf,2500,良,2021106787,コスモキュランダ,10,5,2,58.0,151.6,35.5,0.1,16
JRA-20251228-NAKAYAMA-11,2025-12-28,中山,11,有馬記念,turf,2500,良,2021105143,ダノンデサイル,9,5,3,58.0,151.6,35.0,0.1,16
JRA-20251228-NAKAYAMA-11,2025-12-28,中山,11,有馬記念,turf,2500,良,2021105898,レガレイラ,5,3,4,56.0,151.7,34.6,0.2,16
JRA-20251228-NAKAYAMA-11,2025-12-28,中山,11,有馬記念,turf,2500,良,,サンライズジパング,7,4,5,58.0,151.8,34.8,0.3,16
JRA-20251228-NAKAYAMA-11,2025-12-28,中山,11,有馬記念,turf,2500,良,,タスティエーラ,16,8,6,58.0,152.0,35.7,0.5,16
JRA-20251228-NAKAYAMA-11,2025-12-28,中山,11,有馬記念,turf,2500,良,,ジャスティンパレス,3,2,7,58.0,152.1,35.2,0.6,16
JRA-20251228-NAKAYAMA-11,2025-12-28,中山,11,有馬記念,turf,2500,良,,エキサイトバイオ,1,1,8,56.0,152.1,35.5,0.6,16
JRA-20251228-NAKAYAMA-11,2025-12-28,中山,11,有馬記念,turf,2500,良,2020105786,マイネルエンペラー,12,6,9,58.0,152.3,35.9,0.8,16
JRA-20251228-NAKAYAMA-11,2025-12-28,中山,11,有馬記念,turf,2500,良,,シュヴァリエローズ,8,4,10,58.0,152.4,35.5,0.9,16
JRA-20251228-NAKAYAMA-11,2025-12-28,中山,11,有馬記念,turf,2500,良,,アドマイヤテラ,13,7,11,58.0,152.4,36.1,0.9,16
JRA-20251228-NAKAYAMA-11,2025-12-28,中山,11,有馬記念,turf,2500,良,,エルトンバローズ,15,8,12,58.0,152.6,36.1,1.1,16
JRA-20251228-NAKAYAMA-11,2025-12-28,中山,11,有馬記念,turf,2500,良,2021103272,メイショウタバル,6,3,13,58.0,152.6,36.7,1.1,16
JRA-20251228-NAKAYAMA-11,2025-12-28,中山,11,有馬記念,turf,2500,良,2021110048,シンエンペラー,2,1,14,58.0,152.6,36.0,1.1,16
JRA-20251228-NAKAYAMA-11,2025-12-28,中山,11,有馬記念,turf,2500,良,,アラタ,14,7,15,58.0,152.8,35.9,1.3,16
JRA-20251228-NAKAYAMA-11,2025-12-28,中山,11,有馬記念,turf,2500,良,2018104638,ミステリーウェイ,11,6,16,58.0,152.8,36.8,1.3,16
