raceId,raceDate,racecourse,raceNumber,raceName,surface,distance,going,horseId,horseName,horseNumber,gate,finishPosition,carriedWeightKg,actualRaceTimeSeconds,final3FSeconds,timeGapSeconds,fieldSize
JRA-20260328-NAKAYAMA-11,2026-03-28,中山,11,日経賞,turf,2500,良,2022104902,マイユニバース,15,8,1,56.0,150.7,35.0,0.0,15
JRA-20260328-NAKAYAMA-11,2026-03-28,中山,11,日経賞,turf,2500,良,2022106120,ミクニインスパイア,1,1,2,56.0,150.9,35.7,0.2,15
JRA-20260328-NAKAYAMA-11,2026-03-28,中山,11,日経賞,turf,2500,良,,ローシャムパーク,14,8,3,57.0,150.9,35.5,0.2,15
JRA-20260328-NAKAYAMA-11,2026-03-28,中山,11,日経賞,turf,2500,良,,エヒト,4,3,4,57.0,151.1,35.6,0.4,15
JRA-20260328-NAKAYAMA-11,2026-03-28,中山,11,日経賞,turf,2500,良,,シャイニングソード,10,6,5,57.0,151.2,36.1,0.5,15
JRA-20260328-NAKAYAMA-11,2026-03-28,中山,11,日経賞,turf,2500,良,,マイネルケレリウス,9,5,6,57.0,151.2,35.8,0.5,15
JRA-20260328-NAKAYAMA-11,2026-03-28,中山,11,日経賞,turf,2500,良,2021106787,コスモキュランダ,7,4,7,57.0,151.7,36.7,1.0,15
JRA-20260328-NAKAYAMA-11,2026-03-28,中山,11,日経賞,turf,2500,良,,チャックネイト,12,7,8,57.0,151.7,36.5,1.0,15
JRA-20260328-NAKAYAMA-11,2026-03-28,中山,11,日経賞,turf,2500,良,,ホールネス,2,2,9,55.0,152.2,36.8,1.5,15
JRA-20260328-NAKAYAMA-11,2026-03-28,中山,11,日経賞,turf,2500,良,,アスクナイスショー,5,3,10,57.0,152.3,37.5,1.6,15
JRA-20260328-NAKAYAMA-11,2026-03-28,中山,11,日経賞,turf,2500,良,,リビアングラス,6,4,11,57.0,152.6,37.9,1.9,15
JRA-20260328-NAKAYAMA-11,2026-03-28,中山,11,日経賞,turf,2500,良,,ブレイヴロッカー,13,7,12,57.0,152.9,37.9,2.2,15
JRA-20260328-NAKAYAMA-11,2026-03-28,中山,11,日経賞,turf,2500,良,,ホウオウノーサイド,8,5,13,57.0,153.0,36.8,2.3,15
JRA-20260328-NAKAYAMA-11,2026-03-28,中山,11,日経賞,turf,2500,良,2018104638,ミステリーウェイ,11,6,14,58.0,153.1,37.4,2.4,15
JRA-20260328-NAKAYAMA-11,2026-03-28,中山,11,日経賞,turf,2500,良,,クリスマスパレード,3,2,15,55.0,155.3,40.0,4.6,15
