raceId,raceDate,racecourse,raceNumber,raceName,surface,distance,going,horseId,horseName,horseNumber,gate,finishPosition,carriedWeightKg,actualRaceTimeSeconds,final3FSeconds,timeGapSeconds,fieldSize
JRA-20260614-HANSHIN-11,2026-06-14,阪神,11,宝塚記念,turf,2200,重,2021103272,メイショウタバル,16,8,1,58.0,132.1,35.3,0.0,18
JRA-20260614-HANSHIN-11,2026-06-14,阪神,11,宝塚記念,turf,2200,重,2022105102,クロワデュノール,5,3,2,58.0,132.2,35.2,0.1,18
JRA-20260614-HANSHIN-11,2026-06-14,阪神,11,宝塚記念,turf,2200,重,2021105143,ダノンデサイル,1,1,3,58.0,132.6,35.0,0.5,18
JRA-20260614-HANSHIN-11,2026-06-14,阪神,11,宝塚記念,turf,2200,重,2021106787,コスモキュランダ,9,5,4,58.0,132.6,36.1,0.5,18
JRA-20260614-HANSHIN-11,2026-06-14,阪神,11,宝塚記念,turf,2200,重,2021106548,タガノデュード,8,4,5,58.0,133.5,35.2,1.4,18
JRA-20260614-HANSHIN-11,2026-06-14,阪神,11,宝塚記念,turf,2200,重,2021100651,ファミリータイム,7,4,6,58.0,133.5,36.1,1.4,18
JRA-20260614-HANSHIN-11,2026-06-14,阪神,11,宝塚記念,turf,2200,重,2021105898,レガレイラ,17,8,7,56.0,133.7,35.9,1.6,18
JRA-20260614-HANSHIN-11,2026-06-14,阪神,11,宝塚記念,turf,2200,重,2021100913,ジューンテイク,10,5,8,58.0,133.7,36.7,1.6,18
JRA-20260614-HANSHIN-11,2026-06-14,阪神,11,宝塚記念,turf,2200,重,2022105081,ミュージアムマイル,2,1,9,58.0,133.7,36.5,1.6,18
JRA-20260614-HANSHIN-11,2026-06-14,阪神,11,宝塚記念,turf,2200,重,2020105786,マイネルエンペラー,12,6,10,58.0,133.8,36.9,1.7,18
JRA-20260614-HANSHIN-11,2026-06-14,阪神,11,宝塚記念,turf,2200,重,2021110048,シンエンペラー,11,6,11,58.0,134.2,36.2,2.1,18
JRA-20260614-HANSHIN-11,2026-06-14,阪神,11,宝塚記念,turf,2200,重,2022106120,ミクニインスパイア,4,2,12,58.0,134.5,36.8,2.4,18
JRA-20260614-HANSHIN-11,2026-06-14,阪神,11,宝塚記念,turf,2200,重,2021105829,スティンガーグラス,14,7,13,58.0,134.8,36.3,2.7,18
JRA-20260614-HANSHIN-11,2026-06-14,阪神,11,宝塚記念,turf,2200,重,2020103101,シェイクユアハート,13,7,14,58.0,134.9,36.9,2.8,18
JRA-20260614-HANSHIN-11,2026-06-14,阪神,11,宝塚記念,turf,2200,重,2021105587,ビザンチンドリーム,6,3,15,58.0,135.1,37.1,3.0,18
JRA-20260614-HANSHIN-11,2026-06-14,阪神,11,宝塚記念,turf,2200,重,2018104638,ミステリーウェイ,18,8,16,58.0,135.2,37.6,3.1,18
JRA-20260614-HANSHIN-11,2026-06-14,阪神,11,宝塚記念,turf,2200,重,2021102224,シュガークン,3,2,17,58.0,135.3,38.0,3.2,18
JRA-20260614-HANSHIN-11,2026-06-14,阪神,11,宝塚記念,turf,2200,重,2022104902,マイユニバース,15,7,,58.0,,,,18
